Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
24204;3664582784;306205115;3;0,011367;3000;70
24205;306205115;3664582784;3;0,011367;3000;70
24206;4734314565;306205115;3;1,044843;3000;70
24207;306205115;4734314565;3;1,044843;3000;70
24208;1841827929;307409566;3;0,602717;2000;70
24209;307409566;1841827929;3;0,602717;2000;70
24210;5249388012;307409566;3;0,111234;2000;70
24211;307409566;5249388012;3;0,111234;2000;70
24212;307504428;2292250981;3;0,050431;2000;70
24213;2310332356;307504428;3;0,113183;2000;70
24214;307504428;2310332356;3;0,113183;2000;70
24215;2292250989;307504428;3;0,048597;2000;70
24216;309641690;307504437;3;0,167692;2000;70
24217;307504437;309641690;3;0,167692;2000;70
24218;9053935594;307504437;3;0,054164;2000;70
24219;307504437;9053935594;3;0,054164;2000;70
24220;1844215979;307504437;3;0,165289;2000;70
24221;307504437;1844215979;3;0,165289;2000;70
24222;3705957178;307505595;3;0,246664;2000;70
24223;307505595;3705957178;3;0,246664;2000;70
24224;3321596767;307505595;3;0,165932;2000;70
24225;307505595;3321596767;3;0,165932;2000;70
24226;1844164997;307507369;3;0,052764;2000;70
24227;307507369;1844164997;3;0,052764;2000;70
24228;1940745516;307507369;3;0,302899;2000;70
24229;307507369;1940745516;3;0,302899;2000;70
24230;1940745513;307507377;3;0,428036;2000;70
24231;307507377;1940745513;3;0,428036;2000;70
24232;3706158843;307507377;3;0,647726;2000;70
24233;307507377;3706158843;3;0,647726;2000;70
24234;1813055871;307678780;3;0,347845;2000;70
24235;307678780;1813055871;3;0,347845;2000;70
24236;1940745633;307678780;3;0,144845;2000;70
24237;307678780;1940745633;3;0,144845;2000;70
24238;307679151;307678780;3;0,042381;2000;70
24239;307678780;307679151;3;0,042381;2000;70
24240;1813055788;307679151;3;0,033291;2000;70
24241;307679151;1813055788;3;0,033291;2000;70
24242;3912921262;307679151;3;0,106921;2000;70
24243;307679151;3912921262;3;0,106921;2000;70
24244;307679518;307679525;3;0,041724;2000;70
24245;1813055552;307679518;3;0,121447;2000;70
24246;307679518;1813055552;3;0,121447;2000;70
24247;1813055541;307679518;3;0,024306;2000;70
24248;307679525;307679531;3;0,021728;2000;70
24249;307679525;1532087591;4;0,261741;800;50
24250;307679531;1813055541;3;0,030593;2000;70
24251;9483127501;307679531;3;0,072611;2000;70
24252;307679531;9483127501;3;0,072611;2000;70
24253;307679644;1532087591;4;0,470271;800;50
24254;307679644;1813055541;4;0,196387;800;50
24255;2446521939;307679871;3;0,16605;2000;70
24256;307679871;2446521939;3;0,16605;2000;70
24257;2010524784;307679871;3;0,338975;2000;70
24258;307679871;2010524784;3;0,338975;2000;70
24259;307680618;307679871;3;0,192202;2000;70
24260;307679871;307680618;3;0,192202;2000;70
24261;307680617;1839085464;4;0,253146;800;50
24262;307680618;307680617;4;0,025099;800;50
24263;9483127501;307680617;4;0,025048;800;50
24264;9483127506;307680618;3;0,016553;2000;70
24265;307680618;9483127506;3;0,016553;2000;70
24266;9483127510;307680618;4;0,019191;800;50
24267;3321596767;307681256;3;0,688466;2000;70
24268;307681256;3321596767;3;0,688466;2000;70
24269;1829721011;307681256;3;0,559835;2000;70
24270;307681256;1829721011;3;0,559835;2000;70
24271;1829721011;307681269;3;0,085879;2000;70
24272;307681269;1829721011;3;0,085879;2000;70
24273;3522457137;307681269;3;0,194865;2000;70
24274;307681269;3522457137;3;0,194865;2000;70
24275;310836140;307681269;3;0,093817;2000;70
24276;307681269;310836140;3;0,093817;2000;70
24277;307681404;2296769352;4;0,246332;800;50
24278;307681404;307681405;3;0,011472;2000;70
24279;979015242;307681404;3;0,020602;2000;70
