Num‚ro de noeud;X;Y
245465583;-0,5857864;44,7840315
245465798;-0,5862643;44,7828718
245466202;-0,5854898;44,7813954
245467328;-0,5700754;44,7798027
245467330;-0,5703403;44,7796222
245467522;-0,5702504;44,7786003
245467523;-0,5699745;44,7793341
245468114;-0,5661882;44,7786694
245468115;-0,5651693;44,7786349
245470472;-0,6016358;44,7888055
245470484;-0,6108175;44,7901529
245471098;-0,670515;44,8426422
245471103;-0,6736118;44,8439024
245471118;-0,6735262;44,8438561
245471215;-0,6532709;44,856569
245471218;-0,6479518;44,8561733
245471219;-0,6462825;44,8561721
245471220;-0,64392;44,8561775
245471271;-0,6437562;44,8562969
245471272;-0,6437799;44,8561053
245471273;-0,6436513;44,8561912
246819326;-0,6280093;44,8588551
246970919;-0,6361863;44,8464914
246970921;-0,6350599;44,8463856
246972924;-0,639091;44,8474753
246973861;-0,6396015;44,843966
246973874;-0,6389658;44,8471058
246980466;-0,6722349;44,843155
246981093;-0,6786508;44,8354183
246983997;-0,6152896;44,7896557
246984244;-0,6127927;44,7903628
246984805;-0,6051327;44,7899491
246986845;-0,5526102;44,7788812
246987662;-0,5472513;44,7810788
246987666;-0,5469595;44,7820475
246988012;-0,5396388;44,7913841
246988317;-0,5406888;44,7952167
246988374;-0,540622;44,7939548
246988382;-0,5384773;44,7922399
246988959;-0,5372149;44,7933885
246988961;-0,5378923;44,7933771
246989073;-0,5387304;44,7920332
246989109;-0,5385582;44,7917683
246989209;-0,538001;44,7919881
246989364;-0,5355969;44,7911099
246989365;-0,5354582;44,7907588
246989366;-0,5349772;44,7910468
246989367;-0,5353319;44,7912216
246989562;-0,5353325;44,7901817
246989612;-0,5302695;44,7914984
246989698;-0,5419682;44,7943648
246989700;-0,5421001;44,793914
246989701;-0,5419621;44,7938661
246989933;-0,5413703;44,7954383
246990168;-0,5425874;44,7941136
247084393;-0,5236186;44,8135382
247084394;-0,5233908;44,8132592
247084395;-0,523871;44,8129649
247084513;-0,5199073;44,8103574
247084514;-0,5194776;44,8102058
247084515;-0,5199774;44,809759
247084719;-0,5202795;44,8101032
247085897;-0,5207327;44,8145211
247086104;-0,5148553;44,8218606
247086111;-0,5187016;44,8215129
247086306;-0,5138705;44,8217788
247086321;-0,5191028;44,8210682
247086332;-0,5185153;44,8213215
247086338;-0,5191465;44,82147
247086358;-0,5192343;44,821192
247086649;-0,5011894;44,8429286
247086650;-0,4999542;44,842744
247086651;-0,4994262;44,8426076
247086792;-0,5016837;44,8420862
247086992;-0,5015327;44,8435316
247087206;-0,4999219;44,8421365
247087321;-0,5034743;44,8428928
247087326;-0,5017554;44,8408232
247087357;-0,5025028;44,8461467
247087363;-0,5036397;44,8434283
247087460;-0,5037809;44,8429233
247088491;-0,5054727;44,8534269
247088492;-0,5045801;44,853558
247088494;-0,5027949;44,8537758
247088496;-0,5077037;44,853347
247088525;-0,5044642;44,8514373
247088567;-0,5058693;44,8536052
247088950;-0,5024696;44,8685754
247088952;-0,5048733;44,868215
247088954;-0,5062684;44,8678126
247088956;-0,5083434;44,8670462
247089211;-0,5012557;44,8687744
247089213;-0,504157;44,8684334
247089216;-0,5064602;44,8678739
247089217;-0,5068436;44,8677438
247089466;-0,5027803;44,8679191
247089518;-0,5062193;44,8678304
247089524;-0,5040862;44,8657576
247089624;-0,5050626;44,8702412
247089673;-0,5055698;44,8709813
247089678;-0,5065499;44,8683284
247089688;-0,5030237;44,8686067
247090922;-0,5174687;44,8838654
247091092;-0,518103;44,8832997
247091163;-0,5168847;44,8833721
247091330;-0,5164605;44,8833712
247091369;-0,5170471;44,8832711
247091438;-0,5183338;44,8832751
247091443;-0,5191982;44,8836625
247091444;-0,5216276;44,8825446
247091470;-0,5199497;44,8830305
247091564;-0,5161774;44,8827717
247091995;-0,5262747;44,880448
247092071;-0,5281123;44,8789644
247092841;-0,5861657;44,8883208
247092927;-0,5860311;44,8855036
247092982;-0,5894702;44,8909799
247093225;-0,6208907;44,8819477
247278608;-0,6106359;44,8900052
247685501;-0,6428005;44,8509986
247686006;-0,6334523;44,8572356
247686089;-0,6285347;44,8562917
247686143;-0,6294639;44,8564636
247686228;-0,6319875;44,8570538
247690329;-0,619501;44,8720248
247836868;-0,6201117;44,8499393
247836870;-0,6195774;44,8504831
247837119;-0,6203486;44,8493104
247837208;-0,6197237;44,8515135
247837531;-0,6169036;44,8525201
247837532;-0,6182763;44,8524077
247837533;-0,6192717;44,8523865
247837534;-0,6202676;44,8527242
247837732;-0,6185324;44,8523926
247837972;-0,6182174;44,85035
247882034;-0,616389;44,8494071
247882060;-0,6186544;44,8504057
247882067;-0,6196116;44,8523587
247882069;-0,6197461;44,8516178
247882123;-0,6170238;44,8499583
247882258;-0,6162165;44,8524476
247882340;-0,6150615;44,8523041
247882438;-0,6147556;44,8522619
247887264;-0,5758571;44,8776797
247887476;-0,5794842;44,8772705
247887498;-0,5856894;44,8851361
247887646;-0,5859234;44,8855248
247887657;-0,5886239;44,8883373
247887770;-0,5862057;44,8853299
247888247;-0,5773942;44,877188
247888381;-0,5768153;44,8763059
247888382;-0,5769014;44,8765612
247888385;-0,5777361;44,8771384
247888947;-0,5775033;44,8771318
